,Price,Beds,Baths,Area,Pets,Street,City,Region,Zip
326,"2,500 ",1,1,680,Yes,"1072 Bergen St,                  ",Brooklyn,NY,11216
327,800 ,5,2,"1,200",No,"51 Chatham St,                  ",Staten Island,NY,10312
328,"2,200 ",2,1,900,Yes,"97-25 64th Rd,                  ",Rego Park,NY,11374
329,"2,000 ",2,1,750,No,"1169 Bryant Ave,                  ",Bronx,NY,10459
330,"2,300 ",3,1,"1,026",No,"23048 148th Ave # 2,                  ",Jamaica,NY,11413
331,"2,150 ",2,1,"1,500",No,"31 Webster Ave,                  ",Staten Island,NY,10301
332,"3,625 ",1,1,600,Yes,"42-20 24th St Apt 10C,                  ",Queens,NY,11101
333,"1,950 ",1,1,600,Yes,"666 Hancock St,                  ",Brooklyn,NY,11233
335,"3,500 ",3,1,"1,400",Yes,"153-45 78th Ave # 1ST,                  ",Flushing,NY,11367
336,"1,995 ",1,1,600,Yes,"1402 Park Pl,                  ",Brooklyn,NY,11213
337,"3,886 ",1,1,750,Yes,"1050 6th Ave # Fee,                  ",New York,NY,10018
338,"7,250 ",2,2,950,Yes,"20 River Ter # Fee,                  ",New York,NY,10282
340,"2,450 ",3,1,"1,100",Yes,"74 DE Sales Pl Apt 2F,                  ",Brooklyn,NY,11207
341,"2,100 ",2,1,900,Yes,"1003 Morris Park Ave Apt 2A,                  ",Bronx,NY,10462
342,"2,100 ",2,1,850,No,"137-52 70th Rd,                  ",Flushing,NY,11367
343,"1,800 ",2,1,650,No,"37 Thomas S Boyland St # 2,                  ",Brooklyn,NY,11233
344,"2,500 ",3,3,"1,000",No,"3425 Edson Ave,                  ",Bronx,NY,10469
345,"1,675 ",1,1,700,Yes,"436 New York Ave,                  ",Brooklyn,NY,11225
346,"2,723 ",0,1,400,Yes,"90 Washington St Apt 7Q,                  ",New York,NY,10006
347,"2,975 ",2,1,900,Yes,"531 E 78th St,                  ",New York,NY,10075
348,"2,800 ",3,1,"1,040",No,"6214 Eliot Ave # 1,                  ",Middle Village,NY,11379
349,"2,650 ",0,1,400,Yes,"20 West St Apt 33A,                  ",New York,NY,10004
350,"3,020 ",0,1,600,Yes,"108 W 15th St Apt 3J,                  ",New York,NY,10011
351,"2,700 ",3,5,800,Yes,"677 Quincy St,                  ",Brooklyn,NY,11221
352,"2,750 ",2,1,950,No,"30-15 33rd St Apt 3A,                  ",Astoria,NY,11102
354,"2,495 ",3,1,800,Yes,"1629 St Johns Beautiful 3bedroom Pl Apt In,                  ",Brooklyn,NY,11233
355,"1,895 ",1,1,700,No,"123-60 83rd Ave,                  ",Kew Gardens,NY,11415
356,"1,850 ",1,1,800,No,"83-57 118th St,                  ",Kew Gardens,NY,11415
360,"2,400 ",1,1,600,Yes,"277 Eastern Pkwy,                  ",Brooklyn,NY,11238
361,860 ,2,1,100,No,"764 E 214th St Apt 3,                  ",Bronx,NY,10467
362,"1,700 ",1,1,"1,000",No,"147-15 Northern Blvd # 2,                  ",Flushing,NY,11354
363,"7,365 ",2,2,900,Yes,"1214 5th Ave # 30641,                  ",New York,NY,10029
364,"2,075 ",2,1,896,No,"1705 Purdy St Apt 7H,                  ",Bronx,NY,10462
365,"1,750 ",1,1,700,Yes,"141-35 85th Rd # 6K,                  ",Briarwood,NY,11435
366,"4,925 ",1,1,500,Yes,"1214 5th Ave # 30541,                  ",New York,NY,10029
367,"3,242 ",1,1,400,Yes,"42-20 24th St Apt 40E,                  ",Queens,NY,11101
369,"3,800 ",1,1,770,No,"235 E 40th St,                  ",New York,NY,10016
370,"3,095 ",1,1,750,Yes,"521 E 5th St Apt 4C,                  ",New York,NY,10009
371,"1,795 ",1,1,600,Yes,"270 Clarkson Ave,                  ",Brooklyn,NY,11226
372,"2,200 ",2,1,980,Yes,"22410 Jamaica Ave # LBBY3,                  ",Queens,NY,11428
373,"2,450 ",3,2,"1,200",No,"2885 Roberts Ave,                  ",Bronx,NY,10461
374,"2,050 ",2,1,860,Yes,"1226 Lincoln Pl,                  ",Crown Heights,NY,11213
375,"1,950 ",1,1,700,No,"94-20 66th Ave,                  ",Rego Park,NY,11374
376,"1,950 ",2,1,850,No,"171 66 46th Ave,                  ",Flushing,NY,11355
377,"2,300 ",1,1,650,Yes,"159 Willoughby Ave,                  ",Brooklyn,NY,11205
379,"1,950 ",2,1,750,No,"85-01 87th St Apt 3,                  ",Woodhaven,NY,11421
380,"1,800 ",1,1,700,Yes,"141 E 19th St,                  ",Brooklyn,NY,11226
381,"2,900 ",4,1,750,Yes,"332 Hart St,                  ",Brooklyn,NY,11206
382,"1,800 ",1,1,600,Yes,"323 E 9th St,                  ",Brooklyn,NY,11218
383,"2,700 ",3,1,800,Yes,"446 Ocean Ave,                  ",Brooklyn,NY,11226
385,"1,800 ",2,1,829,No,"2059 St Raymond Ave,                  ",Bronx,NY,10462
386,"1,775 ",2,1,650,Yes,"504 E 183rd St,                  ",Bronx,NY,10458
387,"1,500 ",1,1,620,No,"1558 Unionport Rd,                  ",Bronx,NY,10462
388,"2,200 ",2,1,800,No,"42-30 Forley St,                  ",Elmhurst,NY,11373
389,900 ,5,2,"1,200",No,"51 Chatham 2nd St Fl Room,                  ",Staten Island,NY,10312
390,"1,950 ",1,1,700,No,"40-35 Hampton St,                  ",Elmhurst,NY,11373
391,"1,675 ",0,1,550,Yes,"111-20 76th Rd,                  ",Forest Hills,NY,11375
392,"1,650 ",0,1,480,Yes,"37-52 80th St # 1,                  ",Queens,NY,11372
